Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,filename,instructions
12,1692376149968,18/08/2023 16:29:09,1692376149904,1,18/08/2023 17:29:09,0,0,,,31248542,,9262910,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 115.0.0.0,1440x900,1218x714,,,,Tapping Paradigm,2,Spreadsheet1,Spreadsheet1,1,1,4,intro,advancementZone,continue_button,1445.2000000029802,,,,,0,1,0,,,,,,instructions,,
13,1692376151038,18/08/2023 16:29:11,1692376150976,1,18/08/2023 17:29:10,0,0,,,31248542,,9262910,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 115.0.0.0,1440x900,1218x714,,,,Tapping Paradigm,2,Spreadsheet1,Spreadsheet1,2,1,1,main trials,Zone2,response_keyboard_single,1064.9000000022352,,,j,1,0,1,0,,,,,1,main task,P01.flac,
14,1692376151547,18/08/2023 16:29:11,1692376151452,1,18/08/2023 17:29:11,0,0,,,31248542,,9262910,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 115.0.0.0,1440x900,1218x714,,,,Tapping Paradigm,2,Spreadsheet1,Spreadsheet1,2,1,1,main trials,Zone2,response_keyboard_single,1540.6000000014901,,,j,2,0,1,0,,,,,1,main task,P01.flac,
15,1692376152036,18/08/2023 16:29:12,1692376151968,1,18/08/2023 17:29:11,0,0,,,31248542,,9262910,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 115.0.0.0,1440x900,1218x714,,,,Tapping Paradigm,2,Spreadsheet1,Spreadsheet1,2,1,1,main trials,Zone2,response_keyboard_single,2056.900000002235,,,j,3,0,1,0,,,,,1,main task,P01.flac,
16,1692376152547,18/08/2023 16:29:12,1692376152489,1,18/08/2023 17:29:12,0,0,,,31248542,,9262910,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 115.0.0.0,1440x900,1218x714,,,,Tapping Paradigm,2,Spreadsheet1,Spreadsheet1,2,1,1,main trials,Zone2,response_keyboard_single,2577.400000002235,,,j,4,0,1,0,,,,,1,main task,P01.flac,
17,1692376153034,18/08/2023 16:29:13,1692376152979,1,18/08/2023 17:29:12,0,0,,,31248542,,9262910,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 115.0.0.0,1440x900,1218x714,,,,Tapping Paradigm,2,Spreadsheet1,Spreadsheet1,2,1,1,main trials,Zone2,response_keyboard_single,3068,,,j,5,0,1,0,,,,,1,main task,P01.flac,
18,1692376153533,18/08/2023 16:29:13,1692376153471,1,18/08/2023 17:29:13,0,0,,,31248542,,9262910,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 115.0.0.0,1440x900,1218x714,,,,Tapping Paradigm,2,Spreadsheet1,Spreadsheet1,2,1,1,main trials,Zone2,response_keyboard_single,3560,,,j,6,0,1,0,,,,,1,main task,P01.flac,
19,1692376154036,18/08/2023 16:29:14,1692376153977,1,18/08/2023 17:29:13,0,0,,,31248542,,9262910,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 115.0.0.0,1440x900,1218x714,,,,Tapping Paradigm,2,Spreadsheet1,Spreadsheet1,2,1,1,main trials,Zone2,response_keyboard_single,4065.60000000149,,,j,7,0,1,0,,,,,1,main task,P01.flac,
20,1692376154550,18/08/2023 16:29:14,1692376154480,1,18/08/2023 17:29:14,0,0,,,31248542,,9262910,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 115.0.0.0,1440x900,1218x714,,,,Tapping Paradigm,2,Spreadsheet1,Spreadsheet1,2,1,1,main trials,Zone2,response_keyboard_single,4568.400000002235,,,j,8,0,1,0,,,,,1,main task,P01.flac,
21,1692376155057,18/08/2023 16:29:15,1692376154947,1,18/08/2023 17:29:14,0,0,,,31248542,,9262910,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 115.0.0.0,1440x900,1218x714,,,,Tapping Paradigm,2,Spreadsheet1,Spreadsheet1,2,1,1,main trials,Zone2,response_keyboard_single,5036.300000000745,,,j,9,0,1,0,,,,,1,main task,P01.flac,
22,1692376155526,18/08/2023 16:29:15,1692376155456,1,18/08/2023 17:29:15,0,0,,,31248542,,9262910,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 115.0.0.0,1440x900,1218x714,,,,Tapping Paradigm,2,Spreadsheet1,Spreadsheet1,2,1,1,main trials,Zone2,response_keyboard_single,5544.5,,,j,10,0,1,0,,,,,1,main task,P01.flac,
23,1692376155993,18/08/2023 16:29:15,1692376155924,1,18/08/2023 17:29:15,0,0,,,31248542,,9262910,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 115.0.0.0,1440x900,1218x714,,,,Tapping Paradigm,2,Spreadsheet1,Spreadsheet1,2,1,1,main trials,Zone2,response_keyboard_single,6013.20000000298,,,j,11,0,1,0,,,,,1,main task,P01.flac,
24,1692376156500,18/08/2023 16:29:16,1692376156401,1,18/08/2023 17:29:16,0,0,,,31248542,,9262910,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 115.0.0.0,1440x900,1218x714,,,,Tapping Paradigm,2,Spreadsheet1,Spreadsheet1,2,1,1,main trials,Zone2,response_keyboard_single,6490,,,j,12,0,1,0,,,,,1,main task,P01.flac,
25,1692376157009,18/08/2023 16:29:17,1692376156943,1,18/08/2023 17:29:16,0,0,,,31248542,,9262910,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 115.0.0.0,1440x900,1218x714,,,,Tapping Paradigm,2,Spreadsheet1,Spreadsheet1,2,1,1,main trials,Zone2,response_keyboard_single,7032.300000000745,,,j,13,0,1,0,,,,,1,main task,P01.flac,
26,1692376157563,18/08/2023 16:29:17,1692376157469,1,18/08/2023 17:29:17,0,0,,,31248542,,9262910,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 115.0.0.0,1440x900,1218x714,,,,Tapping Paradigm,2,Spreadsheet1,Spreadsheet1,2,1,1,main trials,Zone2,response_keyboard_single,7557.60000000149,,,j,14,0,1,0,,,,,1,main task,P01.flac,
27,1692376158022,18/08/2023 16:29:18,1692376157967,1,18/08/2023 17:29:17,0,0,,,31248542,,9262910,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 115.0.0.0,1440x900,1218x714,,,,Tapping Paradigm,2,Spreadsheet1,Spreadsheet1,2,1,1,main trials,Zone2,response_keyboard_single,8055.900000002235,,,j,15,0,1,0,,,,,1,main task,P01.flac,
28,1692376158525,18/08/2023 16:29:18,1692376158464,1,18/08/2023 17:29:18,0,0,,,31248542,,9262910,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 115.0.0.0,1440x900,1218x714,,,,Tapping Paradigm,2,Spreadsheet1,Spreadsheet1,2,1,1,main trials,Zone2,response_keyboard_single,8552.60000000149,,,j,16,0,1,0,,,,,1,main task,P01.flac,
29,1692376159019,18/08/2023 16:29:19,1692376158953,1,18/08/2023 17:29:18,0,0,,,31248542,,9262910,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 115.0.0.0,1440x900,1218x714,,,,Tapping Paradigm,2,Spreadsheet1,Spreadsheet1,2,1,1,main trials,Zone2,response_keyboard_single,9041.60000000149,,,j,17,0,1,0,,,,,1,main task,P01.flac,
30,1692376159504,18/08/2023 16:29:19,1692376159433,1,18/08/2023 17:29:19,0,0,,,31248542,,9262910,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 115.0.0.0,1440x900,1218x714,,,,Tapping Paradigm,2,Spreadsheet1,Spreadsheet1,2,1,1,main trials,Zone2,response_keyboard_single,9522.400000002235,,,j,18,0,1,0,,,,,1,main task,P01.flac,
31,1692376159990,18/08/2023 16:29:19,1692376159930,1,18/08/2023 17:29:19,0,0,,,31248542,,9262910,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 115.0.0.0,1440x900,1218x714,,,,Tapping Paradigm,2,Spreadsheet1,Spreadsheet1,2,1,1,main trials,Zone2,response_keyboard_single,10019.300000000745,,,j,19,0,1,0,,,,,1,main task,P01.flac,
32,1692376160526,18/08/2023 16:29:20,1692376160460,1,18/08/2023 17:29:20,0,0,,,31248542,,9262910,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 115.0.0.0,1440x900,1218x714,,,,Tapping Paradigm,2,Spreadsheet1,Spreadsheet1,2,1,1,main trials,Zone2,response_keyboard_single,10549.400000002235,,,j,20,0,1,0,,,,,1,main task,P01.flac,
33,1692376161010,18/08/2023 16:29:21,1692376160952,1,18/08/2023 17:29:20,0,0,,,31248542,,9262910,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 115.0.0.0,1440x900,1218x714,,,,Tapping Paradigm,2,Spreadsheet1,Spreadsheet1,2,1,1,main trials,Zone2,response_keyboard_single,11040.60000000149,,,j,21,0,1,0,,,,,1,main task,P01.flac,
34,1692376161535,18/08/2023 16:29:21,1692376161460,1,18/08/2023 17:29:21,0,0,,,31248542,,9262910,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 115.0.0.0,1440x900,1218x714,,,,Tapping Paradigm,2,Spreadsheet1,Spreadsheet1,2,1,1,main trials,Zone2,response_keyboard_single,11549.400000002235,,,j,22,0,1,0,,,,,1,main task,P01.flac,
35,1692376161990,18/08/2023 16:29:21,1692376161929,1,18/08/2023 17:29:21,0,0,,,31248542,,9262910,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 115.0.0.0,1440x900,1218x714,,,,Tapping Paradigm,2,Spreadsheet1,Spreadsheet1,2,1,1,main trials,Zone2,response_keyboard_single,12018,,,j,23,0,1,0,,,,,1,main task,P01.flac,
36,1692376162520,18/08/2023 16:29:22,1692376162456,1,18/08/2023 17:29:22,0,0,,,31248542,,9262910,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 115.0.0.0,1440x900,1218x714,,,,Tapping Paradigm,2,Spreadsheet1,Spreadsheet1,2,1,1,main trials,Zone2,response_keyboard_single,12545.400000002235,,,j,24,0,1,0,,,,,1,main task,P01.flac,
37,1692376162994,18/08/2023 16:29:22,1692376162932,1,18/08/2023 17:29:22,0,0,,,31248542,,9262910,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 115.0.0.0,1440x900,1218x714,,,,Tapping Paradigm,2,Spreadsheet1,Spreadsheet1,2,1,1,main trials,Zone2,response_keyboard_single,13021.10000000149,,,j,25,0,1,0,,,,,1,main task,P01.flac,
38,1692376163474,18/08/2023 16:29:23,1692376163423,1,18/08/2023 17:29:23,0,0,,,31248542,,9262910,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 115.0.0.0,1440x900,1218x714,,,,Tapping Paradigm,2,Spreadsheet1,Spreadsheet1,2,1,1,main trials,Zone2,response_keyboard_single,13512.400000002235,,,j,26,0,1,0,,,,,1,main task,P01.flac,
39,1692376164019,18/08/2023 16:29:24,1692376163967,1,18/08/2023 17:29:23,0,0,,,31248542,,9262910,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 115.0.0.0,1440x900,1218x714,,,,Tapping Paradigm,2,Spreadsheet1,Spreadsheet1,2,1,1,main trials,Zone2,response_keyboard_single,14056,,,j,27,0,1,0,,,,,1,main task,P01.flac,
40,1692376164534,18/08/2023 16:29:24,1692376164472,1,18/08/2023 17:29:24,0,0,,,31248542,,9262910,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 115.0.0.0,1440x900,1218x714,,,,Tapping Paradigm,2,Spreadsheet1,Spreadsheet1,2,1,1,main trials,Zone2,response_keyboard_single,14560.900000002235,,,j,28,0,1,0,,,,,1,main task,P01.flac,
41,1692376165047,18/08/2023 16:29:25,1692376164973,1,18/08/2023 17:29:24,0,0,,,31248542,,9262910,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 115.0.0.0,1440x900,1218x714,,,,Tapping Paradigm,2,Spreadsheet1,Spreadsheet1,2,1,1,main trials,Zone2,response_keyboard_single,15062,,,j,29,0,1,0,,,,,1,main task,P01.flac,
42,1692376165507,18/08/2023 16:29:25,1692376165448,1,18/08/2023 17:29:25,0,0,,,31248542,,9262910,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 115.0.0.0,1440x900,1218x714,,,,Tapping Paradigm,2,Spreadsheet1,Spreadsheet1,2,1,1,main trials,Zone2,response_keyboard_single,15537.300000000745,,,j,30,0,1,0,,,,,1,main task,P01.flac,
43,1692376165997,18/08/2023 16:29:25,1692376165945,1,18/08/2023 17:29:25,0,0,,,31248542,,9262910,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 115.0.0.0,1440x900,1218x714,,,,Tapping Paradigm,2,Spreadsheet1,Spreadsheet1,2,1,1,main trials,Zone2,response_keyboard_single,16034.300000000745,,,j,31,0,1,0,,,,,1,main task,P01.flac,
44,1692376166476,18/08/2023 16:29:26,1692376166423,1,18/08/2023 17:29:26,0,0,,,31248542,,9262910,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 115.0.0.0,1440x900,1218x714,,,,Tapping Paradigm,2,Spreadsheet1,Spreadsheet1,2,1,1,main trials,Zone2,response_keyboard_single,16511.900000002235,,,j,32,0,1,0,,,,,1,main task,P01.flac,
45,1692376167019,18/08/2023 16:29:27,1692376166958,1,18/08/2023 17:29:26,0,0,,,31248542,,9262910,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 115.0.0.0,1440x900,1218x714,,,,Tapping Paradigm,2,Spreadsheet1,Spreadsheet1,2,1,1,main trials,Zone2,response_keyboard_single,17047,,,j,33,0,1,0,,,,,1,main task,P01.flac,
46,1692376167507,18/08/2023 16:29:27,1692376167459,1,18/08/2023 17:29:27,0,0,,,31248542,,9262910,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 115.0.0.0,1440x900,1218x714,,,,Tapping Paradigm,2,Spreadsheet1,Spreadsheet1,2,1,1,main trials,Zone2,response_keyboard_single,17548.20000000298,,,j,34,0,1,0,,,,,1,main task,P01.flac,
47,1692376168063,18/08/2023 16:29:28,1692376167963,1,18/08/2023 17:29:27,0,0,,,31248542,,9262910,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 115.0.0.0,1440x900,1218x714,,,,Tapping Paradigm,2,Spreadsheet1,Spreadsheet1,2,1,1,main trials,Zone2,response_keyboard_single,18051.800000000745,,,j,35,0,1,0,,,,,1,main task,P01.flac,
48,1692376168577,18/08/2023 16:29:28,1692376168478,1,18/08/2023 17:29:28,0,0,,,31248542,,9262910,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 115.0.0.0,1440x900,1218x714,,,,Tapping Paradigm,2,Spreadsheet1,Spreadsheet1,2,1,1,main trials,Zone2,response_keyboard_single,18567,,,j,36,0,1,0,,,,,1,main task,P01.flac,
49,1692376169082,18/08/2023 16:29:29,1692376168964,1,18/08/2023 17:29:28,0,0,,,31248542,,9262910,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 115.0.0.0,1440x900,1218x714,,,,Tapping Paradigm,2,Spreadsheet1,Spreadsheet1,2,1,1,main trials,Zone2,response_keyboard_single,19052.800000000745,,,j,37,0,1,0,,,,,1,main task,P01.flac,
50,1692376169507,18/08/2023 16:29:29,1692376169447,1,18/08/2023 17:29:29,0,0,,,31248542,,9262910,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 115.0.0.0,1440x900,1218x714,,,,Tapping Paradigm,2,Spreadsheet1,Spreadsheet1,2,1,1,main trials,Zone2,response_keyboard_single,19535.70000000298,,,j,38,0,1,0,,,,,1,main task,P01.flac,
51,1692376170001,18/08/2023 16:29:30,1692376169936,1,18/08/2023 17:29:29,0,0,,,31248542,,9262910,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 115.0.0.0,1440x900,1218x714,,,,Tapping Paradigm,2,Spreadsheet1,Spreadsheet1,2,1,1,main trials,Zone2,response_keyboard_single,20025,,,j,39,0,1,0,,,,,1,main task,P01.flac,
52,1692376170548,18/08/2023 16:29:30,1692376170447,1,18/08/2023 17:29:30,0,0,,,31248542,,9262910,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 115.0.0.0,1440x900,1218x714,,,,Tapping Paradigm,2,Spreadsheet1,Spreadsheet1,2,1,1,main trials,Zone2,response_keyboard_single,20535.900000002235,,,j,40,0,1,0,,,,,1,main task,P01.flac,
53,1692376171063,18/08/2023 16:29:31,1692376170970,1,18/08/2023 17:29:30,0,0,,,31248542,,9262910,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 115.0.0.0,1440x900,1218x714,,,,Tapping Paradigm,2,Spreadsheet1,Spreadsheet1,2,1,1,main trials,Zone2,response_keyboard_single,21058.800000000745,,,j,41,0,1,0,,,,,1,main task,P01.flac,
54,1692376171506,18/08/2023 16:29:31,1692376171447,1,18/08/2023 17:29:31,0,0,,,31248542,,9262910,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 115.0.0.0,1440x900,1218x714,,,,Tapping Paradigm,2,Spreadsheet1,Spreadsheet1,2,1,1,main trials,Zone2,response_keyboard_single,21536.5,,,j,42,0,1,0,,,,,1,main task,P01.flac,
55,1692376172060,18/08/2023 16:29:32,1692376171947,1,18/08/2023 17:29:31,0,0,,,31248542,,9262910,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 115.0.0.0,1440x900,1218x714,,,,Tapping Paradigm,2,Spreadsheet1,Spreadsheet1,2,1,1,main trials,Zone2,response_keyboard_single,22035.900000002235,,,j,43,0,1,0,,,,,1,main task,P01.flac,
56,1692376172488,18/08/2023 16:29:32,1692376172429,1,18/08/2023 17:29:32,0,0,,,31248542,,9262910,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 115.0.0.0,1440x900,1218x714,,,,Tapping Paradigm,2,Spreadsheet1,Spreadsheet1,2,1,1,main trials,Zone2,response_keyboard_single,22517.70000000298,,,j,44,0,1,0,,,,,1,main task,P01.flac,
57,1692376173018,18/08/2023 16:29:33,1692376172951,1,18/08/2023 17:29:32,0,0,,,31248542,,9262910,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 115.0.0.0,1440x900,1218x714,,,,Tapping Paradigm,2,Spreadsheet1,Spreadsheet1,2,1,1,main trials,Zone2,response_keyboard_single,23040.400000002235,,,j,45,0,1,0,,,,,1,main task,P01.flac,
58,1692376173516,18/08/2023 16:29:33,1692376173467,1,18/08/2023 17:29:33,0,0,,,31248542,,9262910,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 115.0.0.0,1440x900,1218x714,,,,Tapping Paradigm,2,Spreadsheet1,Spreadsheet1,2,1,1,main trials,Zone2,response_keyboard_single,23556.300000000745,,,j,46,0,1,0,,,,,1,main task,P01.flac,
59,1692376174037,18/08/2023 16:29:34,1692376173975,1,18/08/2023 17:29:33,0,0,,,31248542,,9262910,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 115.0.0.0,1440x900,1218x714,,,,Tapping Paradigm,2,Spreadsheet1,Spreadsheet1,2,1,1,main trials,Zone2,response_keyboard_single,24064.20000000298,,,j,47,0,1,0,,,,,1,main task,P01.flac,
60,1692376174564,18/08/2023 16:29:34,1692376174456,1,18/08/2023 17:29:34,0,0,,,31248542,,9262910,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 115.0.0.0,1440x900,1218x714,,,,Tapping Paradigm,2,Spreadsheet1,Spreadsheet1,2,1,1,main trials,Zone2,response_keyboard_single,24545.5,,,j,48,0,1,0,,,,,1,main task,P01.flac,
61,1692376175027,18/08/2023 16:29:35,1692376174968,1,18/08/2023 17:29:34,0,0,,,31248542,,9262910,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 115.0.0.0,1440x900,1218x714,,,,Tapping Paradigm,2,Spreadsheet1,Spreadsheet1,2,1,1,main trials,Zone2,response_keyboard_single,25056.800000000745,,,j,49,0,1,0,,,,,1,main task,P01.flac,
62,1692376175856,18/08/2023 16:29:35,1692376175448,1,18/08/2023 17:29:35,0,0,,,31248542,,9262910,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 115.0.0.0,1440x900,1218x714,,,,Tapping Paradigm,2,Spreadsheet1,Spreadsheet1,2,1,1,main trials,Zone2,response_keyboard_single,25537,,,j,50,0,1,0,,,,,1,main task,P01.flac,
63,1692376175975,18/08/2023 16:29:35,1692376175923,1,18/08/2023 17:29:35,0,0,,,31248542,,9262910,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 115.0.0.0,1440x900,1218x714,,,,Tapping Paradigm,2,Spreadsheet1,Spreadsheet1,2,1,1,main trials,Zone2,response_keyboard_single,26012.60000000149,,,j,51,0,1,0,,,,,1,main task,P01.flac,
64,1692376176504,18/08/2023 16:29:36,1692376176447,1,18/08/2023 17:29:36,0,0,,,31248542,,9262910,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 115.0.0.0,1440x900,1218x714,,,,Tapping Paradigm,2,Spreadsheet1,Spreadsheet1,2,1,1,main trials,Zone2,response_keyboard_single,26536,,,j,52,0,1,0,,,,,1,main task,P01.flac,
65,1692376177035,18/08/2023 16:29:37,1692376176982,1,18/08/2023 17:29:36,0,0,,,31248542,,9262910,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 115.0.0.0,1440x900,1218x714,,,,Tapping Paradigm,2,Spreadsheet1,Spreadsheet1,2,1,1,main trials,Zone2,response_keyboard_single,27070.800000000745,,,j,53,0,1,0,,,,,1,main task,P01.flac,
66,1692376177538,18/08/2023 16:29:37,1692376177469,1,18/08/2023 17:29:37,0,0,,,31248542,,9262910,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 115.0.0.0,1440x900,1218x714,,,,Tapping Paradigm,2,Spreadsheet1,Spreadsheet1,2,1,1,main trials,Zone2,response_keyboard_single,27558.300000000745,,,j,54,0,1,0,,,,,1,main task,P01.flac,
